Country,Date,New vaccinations smoothed per million
Australia,2021-02-22,0.0107
Australia,2021-02-23,0.0134
Australia,2021-02-24,0.0215
Australia,2021-02-25,0.0228
Australia,2021-02-26,0.0233
Australia,2021-02-27,0.0206
Australia,2021-02-28,0.0192
Australia,2021-03-01,0.0217
Australia,2021-03-02,0.0245
Australia,2021-03-03,0.0246
Australia,2021-03-04,0.0268
Australia,2021-03-05,0.026
Australia,2021-03-06,0.0274
Australia,2021-03-07,0.0287
Australia,2021-03-08,0.0294
Australia,2021-03-09,0.0317
Australia,2021-03-10,0.0355
Australia,2021-03-11,0.035
Australia,2021-03-12,0.0456
Australia,2021-03-13,0.045
Australia,2021-03-14,0.0434
Australia,2021-03-15,0.0485
Australia,2021-03-16,0.0528
Australia,2021-03-17,0.056
Australia,2021-03-18,0.0585
Australia,2021-03-19,0.0524
Australia,2021-03-20,0.0522
Australia,2021-03-21,0.0649
Australia,2021-03-22,0.0721
Australia,2021-03-23,0.0858
Australia,2021-03-24,0.101
Australia,2021-03-25,0.1215
Australia,2021-03-26,0.14
Australia,2021-03-27,0.1481
Australia,2021-03-28,0.1439
Australia,2021-03-29,0.1579
Australia,2021-03-30,0.1728
Australia,2021-03-31,0.1861
Australia,2021-04-01,0.2013
Australia,2021-04-02,0.1782
Australia,2021-04-03,0.1767
Australia,2021-04-04,0.1676
Australia,2021-04-05,0.1426
Australia,2021-04-06,0.1385
Australia,2021-04-07,0.1395
Australia,2021-04-08,0.1406
Australia,2021-04-09,0.1722
Australia,2021-04-10,0.1791
Australia,2021-04-11,0.185
Australia,2021-04-12,0.2103
Australia,2021-04-13,0.2079
Australia,2021-04-14,0.2011
Australia,2021-04-15,0.19
Australia,2021-04-16,0.186
Australia,2021-04-17,0.183
Australia,2021-04-18,0.2262
Australia,2021-04-19,0.2319
Australia,2021-04-20,0.234
Australia,2021-04-21,0.2362
Australia,2021-04-22,0.241
Australia,2021-04-23,0.2435
Australia,2021-04-24,0.2422
Australia,2021-04-25,0.1944
Australia,2021-04-26,0.1751
Australia,2021-04-27,0.1725
Australia,2021-04-28,0.1809
Australia,2021-04-29,0.1795
Australia,2021-04-30,0.1777
Australia,2021-05-01,0.1773
Australia,2021-05-02,0.179
Australia,2021-05-03,0.1926
Australia,2021-05-04,0.2032
Australia,2021-05-05,0.2001
Australia,2021-05-06,0.2077
Australia,2021-05-07,0.2176
Australia,2021-05-08,0.2217
Australia,2021-05-09,0.223
Australia,2021-05-10,0.2322
Australia,2021-05-11,0.2305
Australia,2021-05-12,0.2334
Australia,2021-05-13,0.236
Australia,2021-05-14,0.2377
Australia,2021-05-15,0.2409
Australia,2021-05-16,0.242
Australia,2021-05-17,0.2477
Australia,2021-05-18,0.2584
Australia,2021-05-19,0.2642
Australia,2021-05-20,0.2727
Australia,2021-05-21,0.2606
Australia,2021-05-22,0.2729
Australia,2021-05-23,0.2969
Australia,2021-05-24,0.281
Australia,2021-05-25,0.2861
Australia,2021-05-26,0.2963
Australia,2021-05-27,0.3095
Australia,2021-05-28,0.3467
Australia,2021-05-29,0.3496
Australia,2021-05-30,0.3365
Australia,2021-05-31,0.3723
Australia,2021-06-01,0.3912
Australia,2021-06-02,0.4077
Australia,2021-06-03,0.4181
Australia,2021-06-04,0.429
Australia,2021-06-05,0.4451
Australia,2021-06-06,0.4613
Australia,2021-06-07,0.466
Australia,2021-06-08,0.4672
Australia,2021-06-09,0.4681
Australia,2021-06-10,0.4734
Australia,2021-06-11,0.437
Australia,2021-06-12,0.4296
Australia,2021-06-13,0.4381
Australia,2021-06-14,0.4029
Australia,2021-06-15,0.4091
Australia,2021-06-16,0.4053
Australia,2021-06-17,0.3987
Australia,2021-06-18,0.4293
Australia,2021-06-19,0.4233
Australia,2021-06-20,0.4008
Australia,2021-06-21,0.4366
Australia,2021-06-22,0.4304
Australia,2021-06-23,0.432
Australia,2021-06-24,0.4304
Australia,2021-06-25,0.4244
Australia,2021-06-26,0.4267
Australia,2021-06-27,0.4343
Australia,2021-06-28,0.4328
Australia,2021-06-29,0.435
Australia,2021-06-30,0.4118
Australia,2021-07-01,0.4378
Australia,2021-07-02,0.4571
Australia,2021-07-03,0.4705
Australia,2021-07-04,0.4716
Australia,2021-07-05,0.4766
Australia,2021-07-06,0.4847
Australia,2021-07-07,0.5139
Australia,2021-07-08,0.498
Australia,2021-07-09,0.4925
Australia,2021-07-10,0.4956
Australia,2021-07-11,0.4973
Australia,2021-07-12,0.5035
Australia,2021-07-13,0.5087
Australia,2021-07-14,0.52
Australia,2021-07-15,0.5283
Australia,2021-07-16,0.5382
Australia,2021-07-17,0.5404
Australia,2021-07-18,0.5425
Australia,2021-07-19,0.5542
Australia,2021-07-20,0.5567
Australia,2021-07-21,0.5705
Australia,2021-07-22,0.5796
Australia,2021-07-23,0.5916
Australia,2021-07-24,0.6007
Australia,2021-07-25,0.6075
Australia,2021-07-26,0.6144
Australia,2021-07-27,0.6244
Australia,2021-07-28,0.64
Australia,2021-07-29,0.6493
Australia,2021-07-30,0.6639
Australia,2021-07-31,0.6669
Australia,2021-08-01,0.6705
Australia,2021-08-02,0.6758
Australia,2021-08-03,0.6912
Australia,2021-08-04,0.6909
Australia,2021-08-05,0.7102
Australia,2021-08-06,0.7242
Australia,2021-08-07,0.7417
Australia,2021-08-08,0.748
Australia,2021-08-09,0.7638
Australia,2021-08-10,0.7899
Australia,2021-08-11,0.8123
Australia,2021-08-12,0.8288
Australia,2021-08-13,0.8526
Australia,2021-08-14,0.8574
Australia,2021-08-15,0.8612
Australia,2021-08-16,0.8951
Australia,2021-08-17,0.899
Australia,2021-08-18,0.9241
Australia,2021-08-19,0.9423
Australia,2021-08-20,0.9594
Australia,2021-08-21,0.9766
Australia,2021-08-22,1.0015
Australia,2021-08-23,1.0072
Australia,2021-08-24,1.0254
Australia,2021-08-25,1.0396
Australia,2021-08-26,1.0417
Australia,2021-08-27,1.0449
Australia,2021-08-28,1.0585
Australia,2021-08-29,1.0689
Australia,2021-08-30,1.0619
Australia,2021-08-31,1.0774
Australia,2021-09-01,1.0751
Australia,2021-09-02,1.0719
Australia,2021-09-03,1.0696
Australia,2021-09-04,1.0657
Australia,2021-09-05,1.0503
Australia,2021-09-06,1.0401
Australia,2021-09-07,1.0179
Australia,2021-09-08,1.0073
Australia,2021-09-09,1.0171
Australia,2021-09-10,1.0122
Australia,2021-09-11,1.0024
Australia,2021-09-12,1.0038
Australia,2021-09-13,1.0493
Australia,2021-09-14,1.0535
Australia,2021-09-15,1.0504
Australia,2021-09-16,1.0411
Australia,2021-09-17,1.0603
Australia,2021-09-18,1.0776
Australia,2021-09-19,1.0994
Australia,2021-09-20,1.0884
Australia,2021-09-21,1.1047
Australia,2021-09-22,1.1221
Australia,2021-09-23,1.1472
Australia,2021-09-24,1.1323
Australia,2021-09-25,1.128
Australia,2021-09-26,1.1129
Australia,2021-09-27,1.1031
Australia,2021-09-28,1.103
Australia,2021-09-29,1.0872
Australia,2021-09-30,1.0835
Australia,2021-10-01,1.0921
Australia,2021-10-02,1.0876
Australia,2021-10-03,1.0839
Australia,2021-10-04,1.0188
Australia,2021-10-05,1.0292
Australia,2021-10-06,1.0445
Australia,2021-10-07,1.0392
Australia,2021-10-08,1.0417
Australia,2021-10-09,1.0555
Australia,2021-10-10,1.0707
Australia,2021-10-11,1.1411
Australia,2021-10-12,1.1335
Australia,2021-10-13,1.1241
Australia,2021-10-14,1.1142
Australia,2021-10-15,1.0968
Australia,2021-10-16,1.0748
Australia,2021-10-17,1.0711
Australia,2021-10-18,1.0519
Australia,2021-10-19,1.0181
Australia,2021-10-20,0.9937
Australia,2021-10-21,0.974
Australia,2021-10-22,0.958
Australia,2021-10-23,0.9558
Australia,2021-10-24,0.9372
Australia,2021-10-25,0.9123
Australia,2021-10-26,0.884
Australia,2021-10-27,0.8526
Australia,2021-10-28,0.8229
Australia,2021-10-29,0.7879
Australia,2021-10-30,0.7603
Australia,2021-10-31,0.7391
Australia,2021-11-01,0.7334
Australia,2021-11-02,0.7003
Australia,2021-11-03,0.6876
Australia,2021-11-04,0.6715
Australia,2021-11-05,0.666
Australia,2021-11-06,0.6543
Australia,2021-11-07,0.6428
Australia,2021-11-08,0.6058
Australia,2021-11-09,0.5973
Australia,2021-11-10,0.5747
Australia,2021-11-11,0.5567
Australia,2021-11-12,0.5362
Australia,2021-11-13,0.5193
Australia,2021-11-14,0.5164
Australia,2021-11-15,0.508
Australia,2021-11-16,0.5009
Australia,2021-11-17,0.4867
Australia,2021-11-18,0.4678
Australia,2021-11-19,0.4458
Australia,2021-11-20,0.4356
Australia,2021-11-21,0.4146
Australia,2021-11-22,0.4159
Australia,2021-11-23,0.4006
Australia,2021-11-24,0.388
Australia,2021-11-25,0.3759
Australia,2021-11-26,0.367
Australia,2021-11-27,0.3557
Australia,2021-11-28,0.3609
Australia,2021-11-29,0.3347
Australia,2021-11-30,0.3255
Australia,2021-12-01,0.3183
Australia,2021-12-02,0.3144
Australia,2021-12-03,0.3111
Australia,2021-12-04,0.3096
Australia,2021-12-05,0.3085
Australia,2021-12-06,0.3038
Australia,2021-12-07,0.3017
Australia,2021-12-08,0.303
Australia,2021-12-09,0.3017
Australia,2021-12-10,0.2951
Australia,2021-12-11,0.2952
Australia,2021-12-12,0.291
Australia,2021-12-13,0.3279
Australia,2021-12-14,0.3685
Australia,2021-12-15,0.4172
New Zealand,2021-02-19,0.0006
New Zealand,2021-02-20,0.0009
New Zealand,2021-02-21,0.0011
New Zealand,2021-02-22,0.003
New Zealand,2021-02-23,0.0038
New Zealand,2021-02-24,0.0058
New Zealand,2021-02-25,0.008
New Zealand,2021-02-26,0.0124
New Zealand,2021-02-27,0.016
New Zealand,2021-02-28,0.0183
New Zealand,2021-03-01,0.0209
New Zealand,2021-03-02,0.0241
New Zealand,2021-03-03,0.0273
New Zealand,2021-03-04,0.0288
New Zealand,2021-03-05,0.0279
New Zealand,2021-03-06,0.0259
New Zealand,2021-03-07,0.0248
New Zealand,2021-03-08,0.0239
New Zealand,2021-03-09,0.0237
New Zealand,2021-03-10,0.0219
New Zealand,2021-03-11,0.021
New Zealand,2021-03-12,0.0204
New Zealand,2021-03-13,0.0208
New Zealand,2021-03-14,0.021
New Zealand,2021-03-15,0.0233
New Zealand,2021-03-16,0.0253
New Zealand,2021-03-17,0.0273
New Zealand,2021-03-18,0.0293
New Zealand,2021-03-19,0.0333
New Zealand,2021-03-20,0.0347
New Zealand,2021-03-21,0.0375
New Zealand,2021-03-22,0.0385
New Zealand,2021-03-23,0.04
New Zealand,2021-03-24,0.0443
New Zealand,2021-03-25,0.0479
New Zealand,2021-03-26,0.0541
New Zealand,2021-03-27,0.0562
New Zealand,2021-03-28,0.0551
New Zealand,2021-03-29,0.0625
New Zealand,2021-03-30,0.0708
New Zealand,2021-03-31,0.0799
New Zealand,2021-04-01,0.0885
New Zealand,2021-04-02,0.0811
New Zealand,2021-04-03,0.0803
New Zealand,2021-04-04,0.0797
New Zealand,2021-04-05,0.0693
New Zealand,2021-04-06,0.0673
New Zealand,2021-04-07,0.0687
New Zealand,2021-04-08,0.0736
New Zealand,2021-04-09,0.0885
New Zealand,2021-04-10,0.0947
New Zealand,2021-04-11,0.1019
New Zealand,2021-04-12,0.1202
New Zealand,2021-04-13,0.1299
New Zealand,2021-04-14,0.1324
New Zealand,2021-04-15,0.1337
New Zealand,2021-04-16,0.1397
New Zealand,2021-04-17,0.1428
New Zealand,2021-04-18,0.1386
New Zealand,2021-04-19,0.1368
New Zealand,2021-04-20,0.1387
New Zealand,2021-04-21,0.1443
New Zealand,2021-04-22,0.149
New Zealand,2021-04-23,0.1552
New Zealand,2021-04-24,0.154
New Zealand,2021-04-25,0.1549
New Zealand,2021-04-26,0.1413
New Zealand,2021-04-27,0.1439
New Zealand,2021-04-28,0.1461
New Zealand,2021-04-29,0.1518
New Zealand,2021-04-30,0.1566
New Zealand,2021-05-01,0.1589
New Zealand,2021-05-02,0.1622
New Zealand,2021-05-03,0.1858
New Zealand,2021-05-04,0.1959
New Zealand,2021-05-05,0.2065
New Zealand,2021-05-06,0.2136
New Zealand,2021-05-07,0.2233
New Zealand,2021-05-08,0.2283
New Zealand,2021-05-09,0.2277
New Zealand,2021-05-10,0.2312
New Zealand,2021-05-11,0.2354
New Zealand,2021-05-12,0.2368
New Zealand,2021-05-13,0.2389
New Zealand,2021-05-14,0.2367
New Zealand,2021-05-15,0.2338
New Zealand,2021-05-16,0.2363
New Zealand,2021-05-17,0.2337
New Zealand,2021-05-18,0.2327
New Zealand,2021-05-19,0.2332
New Zealand,2021-05-20,0.2323
New Zealand,2021-05-21,0.2309
New Zealand,2021-05-22,0.2357
New Zealand,2021-05-23,0.2346
New Zealand,2021-05-24,0.24
New Zealand,2021-05-25,0.247
New Zealand,2021-05-26,0.2561
New Zealand,2021-05-27,0.2601
New Zealand,2021-05-28,0.2744
New Zealand,2021-05-29,0.2807
New Zealand,2021-05-30,0.2846
New Zealand,2021-05-31,0.2887
New Zealand,2021-06-01,0.296
New Zealand,2021-06-02,0.3023
New Zealand,2021-06-03,0.3198
New Zealand,2021-06-04,0.3192
New Zealand,2021-06-05,0.3173
New Zealand,2021-06-06,0.3173
New Zealand,2021-06-07,0.2917
New Zealand,2021-06-08,0.2971
New Zealand,2021-06-09,0.2705
New Zealand,2021-06-10,0.2712
New Zealand,2021-06-11,0.2743
New Zealand,2021-06-12,0.2809
New Zealand,2021-06-13,0.2868
New Zealand,2021-06-14,0.3219
New Zealand,2021-06-15,0.323
New Zealand,2021-06-16,0.3592
New Zealand,2021-06-17,0.3589
New Zealand,2021-06-18,0.3568
New Zealand,2021-06-19,0.3577
New Zealand,2021-06-20,0.3578
New Zealand,2021-06-21,0.3566
New Zealand,2021-06-22,0.358
New Zealand,2021-06-23,0.3596
New Zealand,2021-06-24,0.3628
New Zealand,2021-06-25,0.3654
New Zealand,2021-06-26,0.372
New Zealand,2021-06-27,0.3712
New Zealand,2021-06-28,0.3681
New Zealand,2021-06-29,0.3632
New Zealand,2021-06-30,0.3573
New Zealand,2021-07-01,0.3532
New Zealand,2021-07-02,0.3485
New Zealand,2021-07-03,0.3432
New Zealand,2021-07-04,0.3414
New Zealand,2021-07-05,0.3397
New Zealand,2021-07-06,0.3395
New Zealand,2021-07-07,0.3402
New Zealand,2021-07-08,0.3448
New Zealand,2021-07-09,0.3491
New Zealand,2021-07-10,0.3577
New Zealand,2021-07-11,0.3611
New Zealand,2021-07-12,0.3667
New Zealand,2021-07-13,0.3712
New Zealand,2021-07-14,0.376
New Zealand,2021-07-15,0.3737
New Zealand,2021-07-16,0.3744
New Zealand,2021-07-17,0.3764
New Zealand,2021-07-18,0.3795
New Zealand,2021-07-19,0.3923
New Zealand,2021-07-20,0.415
New Zealand,2021-07-21,0.4404
New Zealand,2021-07-22,0.4643
New Zealand,2021-07-23,0.49
New Zealand,2021-07-24,0.5132
New Zealand,2021-07-25,0.5279
New Zealand,2021-07-26,0.5507
New Zealand,2021-07-27,0.5739
New Zealand,2021-07-28,0.595
New Zealand,2021-07-29,0.6169
New Zealand,2021-07-30,0.6478
New Zealand,2021-07-31,0.6862
New Zealand,2021-08-01,0.7104
New Zealand,2021-08-02,0.7233
New Zealand,2021-08-03,0.734
New Zealand,2021-08-04,0.7449
New Zealand,2021-08-05,0.7507
New Zealand,2021-08-06,0.7506
New Zealand,2021-08-07,0.7456
New Zealand,2021-08-08,0.7396
New Zealand,2021-08-09,0.7491
New Zealand,2021-08-10,0.7609
New Zealand,2021-08-11,0.7706
New Zealand,2021-08-12,0.7895
New Zealand,2021-08-13,0.8033
New Zealand,2021-08-14,0.8227
New Zealand,2021-08-15,0.8371
New Zealand,2021-08-16,0.8591
New Zealand,2021-08-17,0.8847
New Zealand,2021-08-18,0.7496
New Zealand,2021-08-19,0.6974
New Zealand,2021-08-20,0.7308
New Zealand,2021-08-21,0.7602
New Zealand,2021-08-22,0.7934
New Zealand,2021-08-23,0.849
New Zealand,2021-08-24,0.9238
New Zealand,2021-08-25,1.1732
New Zealand,2021-08-26,1.3492
New Zealand,2021-08-27,1.4416
New Zealand,2021-08-28,1.5112
New Zealand,2021-08-29,1.5419
New Zealand,2021-08-30,1.5763
New Zealand,2021-08-31,1.5868
New Zealand,2021-09-01,1.5905
New Zealand,2021-09-02,1.5826
New Zealand,2021-09-03,1.5706
New Zealand,2021-09-04,1.569
New Zealand,2021-09-05,1.5424
New Zealand,2021-09-06,1.5102
New Zealand,2021-09-07,1.473
New Zealand,2021-09-08,1.4064
New Zealand,2021-09-09,1.3272
New Zealand,2021-09-10,1.2645
New Zealand,2021-09-11,1.219
New Zealand,2021-09-12,1.2053
New Zealand,2021-09-13,1.1729
New Zealand,2021-09-14,1.1427
New Zealand,2021-09-15,1.1311
New Zealand,2021-09-16,1.1291
New Zealand,2021-09-17,1.1171
New Zealand,2021-09-18,1.0937
New Zealand,2021-09-19,1.0736
New Zealand,2021-09-20,1.0603
New Zealand,2021-09-21,1.0373
New Zealand,2021-09-22,1.0007
New Zealand,2021-09-23,0.9682
New Zealand,2021-09-24,0.94
New Zealand,2021-09-25,0.9342
New Zealand,2021-09-26,0.9286
New Zealand,2021-09-27,0.9014
New Zealand,2021-09-28,0.8749
New Zealand,2021-09-29,0.8501
New Zealand,2021-09-30,0.8411
New Zealand,2021-10-01,0.8326
New Zealand,2021-10-02,0.8285
New Zealand,2021-10-03,0.8349
New Zealand,2021-10-04,0.8772
New Zealand,2021-10-05,0.931
New Zealand,2021-10-06,1.0135
New Zealand,2021-10-07,1.1148
New Zealand,2021-10-08,1.2219
New Zealand,2021-10-09,1.3107
New Zealand,2021-10-10,1.3531
New Zealand,2021-10-11,1.3907
New Zealand,2021-10-12,1.4166
New Zealand,2021-10-13,1.4126
New Zealand,2021-10-14,1.3719
New Zealand,2021-10-15,1.3261
New Zealand,2021-10-16,1.463
New Zealand,2021-10-17,1.4279
New Zealand,2021-10-18,1.3533
New Zealand,2021-10-19,1.2685
New Zealand,2021-10-20,1.196
New Zealand,2021-10-21,1.1215
New Zealand,2021-10-22,1.0523
New Zealand,2021-10-23,0.8052
New Zealand,2021-10-24,0.7754
New Zealand,2021-10-25,0.6855
New Zealand,2021-10-26,0.6838
New Zealand,2021-10-27,0.673
New Zealand,2021-10-28,0.6838
New Zealand,2021-10-29,0.6791
New Zealand,2021-10-30,0.6799
New Zealand,2021-10-31,0.6832
New Zealand,2021-11-01,0.7309
New Zealand,2021-11-02,0.6945
New Zealand,2021-11-03,0.6616
New Zealand,2021-11-04,0.6092
New Zealand,2021-11-05,0.5677
New Zealand,2021-11-06,0.543
New Zealand,2021-11-07,0.5265
New Zealand,2021-11-08,0.5097
New Zealand,2021-11-09,0.4915
New Zealand,2021-11-10,0.4775
New Zealand,2021-11-11,0.4688
New Zealand,2021-11-12,0.4551
New Zealand,2021-11-13,0.4364
New Zealand,2021-11-14,0.4374
New Zealand,2021-11-15,0.438
New Zealand,2021-11-16,0.4347
New Zealand,2021-11-17,0.4302
New Zealand,2021-11-18,0.4242
New Zealand,2021-11-19,0.423
New Zealand,2021-11-20,0.4074
New Zealand,2021-11-21,0.3944
New Zealand,2021-11-22,0.3775
New Zealand,2021-11-23,0.372
New Zealand,2021-11-24,0.3678
New Zealand,2021-11-25,0.3613
New Zealand,2021-11-26,0.3611
New Zealand,2021-11-27,0.3718
New Zealand,2021-11-28,0.3831
New Zealand,2021-11-29,0.4549
New Zealand,2021-11-30,0.5164
New Zealand,2021-12-01,0.5742
New Zealand,2021-12-02,0.6325
New Zealand,2021-12-03,0.678
New Zealand,2021-12-04,0.6826
New Zealand,2021-12-05,0.6767
New Zealand,2021-12-06,0.6307
New Zealand,2021-12-07,0.5821
New Zealand,2021-12-08,0.5345
New Zealand,2021-12-09,0.4837
New Zealand,2021-12-10,0.4323
New Zealand,2021-12-11,0.4013
New Zealand,2021-12-12,0.3889
New Zealand,2021-12-13,0.3709
New Zealand,2021-12-14,0.3601
New Zealand,2021-12-15,0.3536
United Kingdom,2021-01-11,0.2431
United Kingdom,2021-01-12,0.2856
United Kingdom,2021-01-13,0.3315
United Kingdom,2021-01-14,0.3666
United Kingdom,2021-01-15,0.3946
United Kingdom,2021-01-16,0.4018
United Kingdom,2021-01-17,0.3847
United Kingdom,2021-01-18,0.3937
United Kingdom,2021-01-19,0.4195
United Kingdom,2021-01-20,0.4359
United Kingdom,2021-01-21,0.4549
United Kingdom,2021-01-22,0.483
United Kingdom,2021-01-23,0.5237
United Kingdom,2021-01-24,0.5297
United Kingdom,2021-01-25,0.545
United Kingdom,2021-01-26,0.5379
United Kingdom,2021-01-27,0.527
United Kingdom,2021-01-28,0.5277
United Kingdom,2021-01-29,0.5298
United Kingdom,2021-01-30,0.5541
United Kingdom,2021-01-31,0.5752
United Kingdom,2021-02-01,0.5902
United Kingdom,2021-02-02,0.6036
United Kingdom,2021-02-03,0.6365
United Kingdom,2021-02-04,0.6509
United Kingdom,2021-02-05,0.6526
United Kingdom,2021-02-06,0.6406
United Kingdom,2021-02-07,0.6317
United Kingdom,2021-02-08,0.6324
United Kingdom,2021-02-09,0.6404
United Kingdom,2021-02-10,0.6369
United Kingdom,2021-02-11,0.642
United Kingdom,2021-02-12,0.6527
United Kingdom,2021-02-13,0.6437
United Kingdom,2021-02-14,0.6353
United Kingdom,2021-02-15,0.6198
United Kingdom,2021-02-16,0.6119
United Kingdom,2021-02-17,0.6206
United Kingdom,2021-02-18,0.6122
United Kingdom,2021-02-19,0.5782
United Kingdom,2021-02-20,0.544
United Kingdom,2021-02-21,0.5254
United Kingdom,2021-02-22,0.5104
United Kingdom,2021-02-23,0.5053
United Kingdom,2021-02-24,0.5018
United Kingdom,2021-02-25,0.5128
United Kingdom,2021-02-26,0.5443
United Kingdom,2021-02-27,0.5631
United Kingdom,2021-02-28,0.5745
United Kingdom,2021-03-01,0.5789
United Kingdom,2021-03-02,0.5628
United Kingdom,2021-03-03,0.5349
United Kingdom,2021-03-04,0.5193
United Kingdom,2021-03-05,0.5103
United Kingdom,2021-03-06,0.5131
United Kingdom,2021-03-07,0.5087
United Kingdom,2021-03-08,0.5134
United Kingdom,2021-03-09,0.5163
United Kingdom,2021-03-10,0.515
United Kingdom,2021-03-11,0.4957
United Kingdom,2021-03-12,0.488
United Kingdom,2021-03-13,0.5122
United Kingdom,2021-03-14,0.5327
United Kingdom,2021-03-15,0.5717
United Kingdom,2021-03-16,0.6217
United Kingdom,2021-03-17,0.6722
United Kingdom,2021-03-18,0.7362
United Kingdom,2021-03-19,0.7956
United Kingdom,2021-03-20,0.8543
United Kingdom,2021-03-21,0.883
United Kingdom,2021-03-22,0.8772
United Kingdom,2021-03-23,0.87
United Kingdom,2021-03-24,0.8696
United Kingdom,2021-03-25,0.8485
United Kingdom,2021-03-26,0.8389
United Kingdom,2021-03-27,0.801
United Kingdom,2021-03-28,0.8055
United Kingdom,2021-03-29,0.804
United Kingdom,2021-03-30,0.8058
United Kingdom,2021-03-31,0.8156
United Kingdom,2021-04-01,0.8276
United Kingdom,2021-04-02,0.7561
United Kingdom,2021-04-03,0.6773
United Kingdom,2021-04-04,0.605
